# b_ss,c_ss,EulErr_ss,RCerr_ss,w_ss,r_ss,K_ss,Y_ss,C_ss,BQ_ss
0.000000000000000000e+00,1.060399864996240060e+00,0.000000000000000000e+00,-3.205223433252177290e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
1.981101517384079719e-02,1.061191034472454664e+00,1.110223024625156540e-16,-3.203450856569144221e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
4.047128057473340507e-02,1.061982794244048289e+00,0.000000000000000000e+00,-3.201049989943412916e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
6.204954181675924330e-02,1.062775144751443301e+00,-5.551115123125782702e-16,-3.198529428115714623e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
8.462015531894349907e-02,1.063568086435389803e+00,4.440892098500626162e-16,-3.196100485981206562e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
1.082635462764105633e-01,1.064361619736968301e+00,-2.220446049250313081e-16,-3.193670524947217655e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
1.330667040125786127e-01,1.065155745097587037e+00,2.220446049250313081e-16,-3.191924565528383734e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
1.591237177635522748e-01,1.065950462958984657e+00,-4.440892098500626162e-16,-3.190509323795551362e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
1.865363561949152094e-01,1.066745773763228433e+00,0.000000000000000000e+00,-3.189026516456994545e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
2.154146942204982484e-01,1.067541677952715817e+00,2.220446049250313081e-16,-3.188540454936498753e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
2.458777909840584863e-01,1.068338175970174664e+00,0.000000000000000000e+00,-3.187913933848037212e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
2.780544231799462751e-01,1.069135268258663229e+00,-5.551115123125782702e-16,-3.187606707500216345e-03,9.758562571592462875e-01,1.145634606551431955e-01,2.121455361467165179e+00,9.974686740241273109e-01,8.272482902618087941e-01,8.000977596401842584e-02
